,Lowest distortion,A,B,Radius A [ang],Radius B [ang],Formation energy [eV/atom],Stability [eV/atom],Volume per atom [A^3/atom],Band gap [eV],a [ang],Vacancy energy [eV/O atom],Stability (log[eV/atom]),Vacancy energy (log[eV/O atom]),Magnetic moment (^2[mu_B]),Valence B_1,Valence B_2,Valence B_3,Valence B_4,Valence B_5,Valence B_element not in BV,Valence B_not balanced
0,0,1,1,1.12,1.12,-2.732,0.848,20.836,0.332,4.705,3.15,-0.2378638300988879,1.6553518286125541,0.0,0,0,0,0,0,1,0
1,1,1,2,1.12,0.95,-1.957,-0.055,14.485,0.0,5.779,0.817,,-0.2915920165164037,0.0,0,0,0,0,0,1,0
2,0,1,3,1.12,0.54,-3.532,-0.11,11.487,4.307,3.858,6.695,,2.743084055549586,0.0,0,0,0,0,0,1,0
3,1,1,4,1.12,0.52,-2.398,0.224,14.355,0.0,5.78,3.634,-2.158429362604483,1.8615584195720287,0.0,0,0,0,0,0,1,0
4,1,1,5,1.12,0.93,-2.006,-0.056,15.19,0.745,5.899,0.807,,-0.3093594213843066,0.0,0,0,0,0,0,1,0
5,0,1,6,1.12,0.27,-2.316,0.786,10.075,1.071,3.693,4.163,-0.34739878240348054,2.0576235584781313,0.0,0,0,0,0,0,1,0
6,1,1,7,1.12,1.35,-2.741,0.221,20.944,0.0,6.315,-1.771,-2.1778817252706553,,0.04000000000000001,0,0,0,0,0,1,0
7,0,1,8,1.12,0.45,-2.715,0.262,10.639,0.0,3.761,-0.08,-1.9323612831246366,,0.033489,0,0,0,0,0,1,0
8,1,1,9,1.12,0.9,-2.5,0.027,17.182,1.639,6.09,2.653,-5.210896782498619,1.4076246755666086,0.0,0,0,0,0,0,1,0
9,1,1,10,1.12,1.0,-2.964,0.117,15.873,0.0,5.994,-1.025,-3.095419565078682,,0.04000000000000001,0,0,0,0,0,1,0
10,1,1,11,1.12,0.95,-2.224,0.061,15.094,0.0,5.84,0.264,-4.035046947099201,-1.9213901653036336,0.0,0,0,0,0,0,1,0
11,0,1,12,1.12,0.94,-2.864,0.686,19.228,1.439,4.581,4.197,-0.5437195184892746,2.0693584632238227,0.0,0,0,0,0,0,1,0
12,2,1,13,1.12,0.63,-2.426,-0.01,11.94,0.0,5.522,3.33,,1.7355221772965375,0.35046399999999994,0,0,0,0,0,1,0
13,1,1,14,1.12,0.58,-3.138,-0.107,12.5,1.817,5.594,5.121,,2.3564255590868073,0.36,0,0,0,0,0,1,0
14,3,1,15,1.12,1.67,-1.602,0.752,19.919,0.0,4.179,-1.411,-0.41119543298444966,,1.6e-05,0,0,0,0,0,1,0
15,1,1,16,1.12,0.68,-2.241,-0.077,11.892,0.0,5.509,1.596,,0.6744606515602588,0.0,0,0,0,0,0,1,0
16,1,1,17,1.12,0.99,-3.712,0.002,15.895,4.542,5.989,5.48,-8.965784284662087,2.454175893185802,0.0,0,0,0,0,0,1,0
17,1,1,18,1.12,0.89,-3.748,-0.01,15.547,4.544,5.96,5.682,,2.5063988315274544,0.0,0,0,0,0,0,1,0
18,1,1,19,1.12,1.06,-3.04,0.108,16.695,0.0,6.033,-0.381,-3.2108967824986183,,0.04000000000000001,0,0,0,0,0,1,0
19,1,1,20,1.12,0.67,-2.731,-0.116,12.687,0.906,5.63,4.135,,2.04788732939655,1.0,0,0,0,0,0,1,0
20,1,1,21,1.12,0.62,-2.914,-0.073,12.393,3.174,5.584,5.294,,2.4043581948333115,0.0,0,0,0,0,0,1,0
21,1,1,22,1.12,0.94,-3.67,0.016,16.276,4.335,6.029,5.268,-5.965784284662087,2.397255345594427,0.0,0,0,0,0,0,1,0
22,1,1,23,1.12,0.63,-2.547,0.093,13.62,0.0,5.744,3.511,-3.4266254735540556,1.811881996218668,0.0,0,0,0,0,0,1,0
23,1,1,24,1.12,0.71,-3.414,0.104,14.273,0.0,5.773,5.504,-3.265344566520995,2.460480470040011,0.0,0,0,0,0,0,1,0
24,1,1,25,1.12,1.11,-1.951,0.021,15.992,0.0,5.817,0.336,-5.573466861883326,-1.5734668618833267,0.0,0,0,0,0,0,1,0
25,1,1,26,1.12,0.9,-3.731,-0.004,15.716,4.552,5.975,5.577,,2.4794892709785508,0.0,0,0,0,0,0,1,0
26,1,1,27,1.12,0.8,-2.748,-0.036,14.775,2.695,5.857,3.988,,1.9956654097361088,0.0,0,0,0,0,0,1,0
27,1,1,28,1.12,0.63,-2.194,0.075,13.405,0.754,5.616,1.277,-3.736965594166206,0.35275852504063665,0.0,0,0,0,0,0,1,0
28,1,1,29,1.12,1.38,-1.973,0.394,19.767,0.0,6.346,-2.742,-1.3437324652057108,,0.16000000000000003,0,0,0,0,0,1,0
29,0,1,30,1.12,1.03,-2.983,0.663,18.986,1.423,4.562,4.187,-0.5929192245494992,2.0659169180782153,0.0,0,0,0,0,0,1,0
30,0,1,31,1.12,0.76,-2.248,0.223,11.628,0.0,3.874,-0.334,-2.1648843847417822,,0.159201,0,0,0,0,0,1,0
31,1,1,32,1.12,0.86,-3.793,-0.022,15.05,4.709,5.905,5.945,,2.5716768099709313,0.0,0,0,0,0,0,1,0
32,2,1,33,1.12,0.72,-2.898,0.079,12.717,0.0,5.556,,-3.662003536484984,,0.040401000000000006,0,0,0,0,0,1,0
33,1,1,34,1.12,0.62,-2.918,-0.12,12.612,0.0,5.612,4.094,,2.0335111023613237,0.6400000000000001,0,0,0,0,0,1,0
34,1,1,35,1.12,0.62,-2.638,0.121,13.687,0.0,5.684,4.549,-3.0469210473874924,2.1855494346295674,0.16240900000000003,0,0,0,0,0,1,0
35,0,1,36,1.12,1.02,-1.826,0.544,13.679,0.0,4.09,,-0.8783214434117476,,0.16000000000000003,0,0,0,0,0,1,0
36,1,1,37,1.12,0.68,-2.955,0.081,13.985,0.0,5.717,4.946,-3.6259342817774622,2.3062622397278507,1e-06,0,0,0,0,0,1,0
